title,paper,authors,year,model name,model class,parametrization,multiple losses,multi-task learning,architecture,left-truncation,interval-censoring,CR,MSM,RE,TVF,TVE,high dimensionality,multimodality,interpretability,code,datasets,min dataset size,simulation,active learning,semi-supervised learning,PASS,comments,scribbles
A meta-learning approach for genomic survival analysis,https://www.nature.com/articles/s41467-020-20167-3,Y. Qiu et al.,2020,Qiu2020,Cox-based,hazard rate,no,yes (meta-learning),FFNN,no,no,no,no,no,no,no,yes,no,risk BP based on SurvivalNet,https://github.com/gevaertlab/metalearning_survival,TCGA (pan-cancer datasets),9707,no,no,no,PASS,,Cox-nnet loss
Survival prediction model for right-censored data based on improved composite quantile regression neural network,https://europepmc.org/article/med/35801434,X. Qin et al.,2022,rcICQRNN,quantile regression-based,parameters of quantile regression,no,no,FFNN,no,no,no,no,no,no,no,yes,no,no,no,"METABRIC, NKI70, TCC",144 (NKI70),yes,no,no,PASS,,"they don't stress ""omics"" but use METABRIC (with genomic data, >500 features) as dataset"
Deep Semisupervised Multitask Learning Model and Its Interpretability for Survival Analysis,https://ieeexplore.ieee.org/document/9373895,S. Chi et al.,2021,SSMTL,discrete-time,custom loss,yes,yes,FFNN,no,no,yes,no,no,no,yes,no,no,FI; feature effect plots on CIC,https://github.com/LeyiChi/SSMTL,"SEER (CRC, Lung, Breast, Prostate)",28927 (Lung),no,no,censoring as unsupervised,PASS,,(logarithmic loss + semisupervised loss + ranking loss)
DeepBTS: Prediction of Recurrence-free Survival of Non-small Cell Lung Cancer Using a Time-binned Deep Neural Network,http://www.nature.com/articles/s41598-020-58722-z,B. Lee et al.,2020,su-DeepBTS,discrete-time,discrete hazard,no,???,FFNN,no,no,no,no,no,no,no,no,no,no,no,Catholic Medical Center (NSCLC),1320,no,no,semi-unsupervised,PASS,,
A deep survival analysis method based on ranking,https://www.sciencedirect.com/science/article/pii/S0933365718305992,B. Jing et al.,2019,RankDeepSurv,ranking-based,custom loss,yes,??? (no),FFNN ,no,no,no,no,no,no,no,no,no,no,https://github.com/sysucc-ailab/RankDeepSurv,"METABRIC, RGBSG, SUPPORT, WHAS",1638 (WHAS),no,no,no,PASS,,custom loss based on regression loss (quadratic diff in observed time) and ranking loss
DeepHit: A Deep Learning Approach to Survival Analysis with Competing Risks,https://ojs.aaai.org/index.php/AAAI/article/view/11842,C. Lee et al.,2018,DeepHit,discrete-time,PMF,yes,??? (multiple losses hence multiple tasks?),FFNN / RNN,no,no,yes,no,no,yes,no,no,no,no,"https://github.com/chl8856/DeepHit, https://github.com/havakv/pycox, https://github.com/RaphaelS1/survivalmodels
","METABRIC, SEER, UNOS",1981 (METABRIC),yes,no,no,PASS,"RNN architecture and TVF modeling via extension ""Dynamic-DeepHit""","extension: Dynamic-DeepHit
(log-likelihood of first hitting time loss + cause-specific ranking loss + auxiliary task prediction loss (Dynamic DeepHit only)) 
TVF via Dynamic DeepHit"
Deep Survival Machines: Fully Parametric Survival Regression and Representation Learning for Censored Data with Competing Risks,https://ieeexplore.ieee.org/document/9326348,C. Nagpal et al.,2021,DSM,parametric,(mixture) Weibull or Log-Normal loss,yes,yes,FFNN / RNN,no,no,yes,no,no,yes,yes,no,no,no,https://autonlab.org/auton-survival,"METABRIC, SEER, SUPPORT",1904 (METABRIC),no,no,no,PASS,"RNN architecture and TVF modeling via extension ""RDSM""","loss = ELBO loss term for uncensored + alpha-weighted ELBO loss term for censored + prior loss (so multiple losses)
stating that framework is amenable to left-truncation and interval-censoring
TVE: ""enable learning with time-varying risks""; TVF: via extension RDSM model
hierarchical graphical model parameterized by neural networks (FFNN); RNN (RDSM)"
SurvNet: A Novel Deep Neural Network for Lung Cancer Survival Analysis With Missing Values,https://www.frontiersin.org/article/10.3389/fonc.2020.588990,J. Wang et al.,2021,SurvNet,Cox-based,hazard rate,yes,yes,FFNN + context gating,no,no,no,no,no,no,no,no,no,no,no,"West China Hospital IB-IIA stage NSCLC dataset, SEER",1137 (NSCLC),no,no,no,PASS,,(Cox loss + survival classification loss + MSE-based incomplete-aware loss --> multitask learning!)
SALMON: Survival Analysis Learning With Multi-Omics Neural Networks on Breast Cancer,https://www.frontiersin.org/articles/10.3389/fgene.2019.00166/full,Z. Huang et al.,2019,SALMON,Cox-based,hazard rate,no,no,FFNN + eigengene modules,no,no,no,no,no,no,no,yes,no,FI,https://github.com/huangzhii/SALMON,Broad GDAC Firehose (BRCA),583,no,no,no,PASS,,
DPWTE: A Deep Learning Approach to Survival Analysis Using a Parsimonious Mixture of Weibull Distributions,https://link.springer.com/chapter/10.1007/978-3-030-86340-1_15,A. Bennis et al.,2021,DPWTE,parametric,(mixture) Weibull Loss,no,no,FFNN + SWM layers,no,no,no,no,no,no,no,no,no,no,no,"METABRIC, SEER, SUPPORT",1981 (METABRIC),no,no,no,PASS,,DeepWeiSurv loss (single loss) w/ additional regularization term wrt #mixtures
Survival Analysis For Computing Systems Using A Deep Ensemble Network,https://ieeexplore.ieee.org/document/9171987,B. Sansaengtham et al.,2020,San2020,Cox-based,hazard rate,no,no,FFNN ensemble,no,no,no,no,no,no,no,no,no,no,no,Google Cloud Cluster Dataset,21068,no,no,no,PASS,,
Countdown Regression: Sharp and Calibrated Survival Predictions,http://proceedings.mlr.press/v115/avati20a.html,Avati et al.,2020,Ava2020,parametric,parameters of log-normal distribution,no,no,flexible,no,yes,no,no,no,yes,no,no,no,no,http://github.com/stanfordmlgroup/cdr-mimic,"MIMIC III, STARR",51015 (MIMIC III),no,no,no,PASS,RNN architecture choice for handling TVF (STARR),
DeepPAMM: Deep Piecewise Exponential Additive Mixed Models for Complex Hazard Structures in Survival Analysis,https://link.springer.com/chapter/10.1007/978-3-031-05936-0_20,P. Kopper et al.,2022,DeepPAMM,PEM-based,hazard rate,no,,flexible,yes,no,yes,yes,yes,yes,yes,no,yes,classical,no,"BREAST, GBSG2, ICU, METABRIC, MGUS2, TUMOR",614 (BREAST),yes,no,no,PASS,,
MultiSurv: Long-term cancer survival prediction using multimodal deep learning,https://www.nature.com/articles/s41598-021-92799-4,L. Vale-Silva and K. Rohr,2021,MultiSurv,discrete-time,discrete hazard,no,,flexible,no,no,no,no,no,no,yes,yes,yes,no,https://github.com/luisvalesilva/multisurv,TCGA,11315,no,no,no,PASS,,"an auxiliary loss was experimented with, but no multiple losses in final version"
A scalable discrete-time survival model for neural networks,https://peerj.com/articles/6257/?ref=https%3A%2F%2Fgithubhelp.com,M. Gensheimer and B. Narasimhan,2019,Nnet-survival,discrete-time,discrete hazard,no,,flexible,no,no,no,no,no,no,yes,no,yes,no,"https://github.com/MGensheimer/nnet-survival, https://github.com/havakv/pycox, https://github.com/RaphaelS1/survivalmodels",SUPPORT,9105,yes,no,no,PASS,,"(negative log likelihood loss)
(multimodality only if employing the appropriate architecture, e.g. CNN)"
Adversarial Time-to-Event Modeling,http://proceedings.mlr.press/v80/chapfuwa18a.html,P. Chapfuwa et al.,2018,DATE,GAN-based,custom loss,yes,??? (no),GAN,no,no,no,no,no,no,no,no,no,no,https://github.com/paidamoyo/adversarial_time_to_event,"EHR, FLCHAIN, SEER, SUPPORT",7894 (FLCHAIN),no,no,no,PASS,,custom loss to learn event time distribution from which values can be drawn
DeepCompete : A deep learning approach to competing risks in continuous time domain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8075516/,Aastha et al.,2021,DeepCompete,ODE-based,hazard rate,no,??? yes,nODE,no,no,yes,no,no,no,no,no,no,no,no,"AML, DBCD, DLBCL, Lung Cancer Dataset, NSBCD, SEER breast cancer dataset",86 (Lung Cancer Dataset),no,no,no,PASS,,"NOT discrete-time
NLL-based loss (w/ hazards computed by N-ODEs)"
A General Framework for Survival Analysis and Multi-State Modelling,http://arxiv.org/abs/2006.04893,S. Groha et al.,2021,survNode,ODE-based,hazard rate,no   ,,nODE,yes,yes,yes,yes,no,yes,no,no,yes,variational survNode,https://github.com/stefangroha/SurvNODE,"METABRIC, SUPPORT",1904 (METABRIC),yes,no,no,PASS,,"(multimodality only if employing the appropriate architecture, thru encoding of initial values)"
Individual Survival Curves with Conditional Normalizing Flows,https://ieeexplore.ieee.org/document/9564222,G. Ausset et al.,2021,Aus2021,transformation and normalizing flow-based,parameters of transformation model,yes,???,normalizing flows,no,no,no,no,no,no,no,no,no,no,https://git.sr.ht/~aussetg/nfsurvival,"METABRIC, RGBSG, SUPPORT, WHAS",1638 (WHAS),yes,no,no,PASS,,"model class: Also sie optimieren auf jeden Fall die likelihood Eq. (3) und approximieren f(t|x) und S(t|x) über ein transformationsmodell via normalizing flows. bzw. in der definition vom loss nehmen sie dann den log davon
losses: seems like multiple losses, L_u and L_c, but apparently only as regularization term in order to approximate the real distribution properly,
parametrization: parameters of generalized AFT model"
A Wide and Deep Neural Network for Survival Analysis from Anatomical Shape and Tabular Clinical Data,https://link.springer.com/chapter/10.1007/978-3-030-43823-4_37,S. Pölsterl et al.,2020,WideAndDeep,Cox-based,hazard rate,no,,PointNet,no,no,no,no,no,no,no,no,yes,classical,no,ADNI,397,no,no,no,PASS,,
"CRESA: A Deep Learning Approach to Competing Risks, Recurrent Event Survival Analysis",https://link.springer.com/chapter/10.1007/978-3-030-16145-3_9,G. Gupta et al.,2019,CRESA,discrete-time,discrete hazard,yes,???,RNN,no,no,yes,no,yes,yes,no,no,no,no,no,"MIMIC III, Engines Failure dataset (proprietary)",1301 (MIMIC III),no,no,no,PASS,,"RCIF-based loss function
RNN: LSTM 
loss-function: two components: first caters to log-likelihood of the cause-specific recurrent event survival data, taking into account the censoring of the data; second considers cause-specific ranking loss based on concordance (=DeepHit ranking loss)"
Deep Learning-Based Discrete Calibrated Survival Prediction,https://www.computer.org/csdl/proceedings-article/icdh/2022/814900a169/1G6jNaxaV3y,P. Fuhlert et al.,2022,DCS,discrete-time,survival probability,yes,no,RNN,no,no,no,no,no,no,no,no,no,no,https://github.com/imsb-uke/dcsurv,"FLCHAIN, METABRIC, SUPPORT",1904 (METABRIC),yes,no,no,PASS,,"parametrization not explicitly stated
""discrete hazard"" b/c of reference of Nnet-survival
RNN: LSTM"
DeepComp: Which Competing Event Will Hit the Patient First?,https://ieeexplore.ieee.org/document/9313333,Y. Li et al.,2020,DeepComp,discrete-time,discrete hazard,yes,yes,RNN,no  ,no   ,yes,no,no,no,no,no,no,no,no,"AF dataset, SEER",19830 (AF dataset),no,no,no,PASS,,"log-likelihood based loss for uncensored + censored
novel competing penalty"
Deep Recurrent Survival Analysis,https://ojs.aaai.org/index.php/AAAI/article/view/4407,K. Ren et al.,2019,DRSA,discrete-time,discrete hazard,yes,???,RNN,no,no,no,no,no,no,no,no,no,no,https://github.com/rk2900/drsa,"BIDDING, CLINIC, MUSIC",6036 (CLINIC),no,no,no,PASS,,"(combination of log-likelihood-based losses)
RNN: LSTM"
Estimating Calibrated Individualized Survival Curves with Deep Learning,https://doi.org/10.1609/aaai.v35i1.16098,F. Kamran and J. Wiens,2021,Kam2021,discrete-time,survival probability,yes,,RNN,no,no,no,no,no,no,no,no,no,no,https://github.com/MLD3/Calibrated-Survival-Analysis,"CLINIC, NACD",2402 (NACD),no,no,no,PASS,,"actually a (model-agnostic) training framework (a new loss), which is simply exemplified using DRSA"
RNN-SURV: A Deep Recurrent Model for Survival Analysis,https://link.springer.com/chapter/10.1007/978-3-030-01424-7_3,E. Giunchiglia et al.,2018,RNN-SURV,discrete-time,survival probability,yes,???,RNN,no,no,no,no,no,no,yes,no,no,no,no,"AIDS2, FLCHAIN, NWTCO, UNOS Transplant, UNOS Waitlist",2843 (AIDS2),no,no,no,PASS,,"discretization/intervalization w/ cross-entropy loss + upper bound of negative C-index loss;
the risk score is calculated directly from the survival probabilities, but is not separately estimated, so we can ignore the later part. Its like fitting hazards and then calculate survival prob from there.
 RNN: LSTM"
Discrete-time survival analysis in the critically ill: a deep learning approach using heterogeneous data,https://www.nature.com/articles/s41746-022-00679-6,H. Thorsen-Meyer et al.,2022,Tho2022,discrete-time,discrete hazard,no,no,RNN,no,no,no,no,no,no,no,no,yes,SHAP,https://github.com/daplaci/ICUsurvive,Danish Electronic Patient Records (Registered Access),29417,no,no,no,PASS,,"negative log likelihood loss
Due to national and EU regulations the data accessed in this paper cannot readily be shared to the wider research community. However, data can be made available for use in secure, dedicated environments via application to the Danish Patient Safety Authority (https://stps.dk/da/ansvar-og-retningslinjer/patientjournaloplysninger-tilforskning) and the Danish Health Data Authority (https://sundhedsdatastyrelsen.dk/da/english/health_data_and_registers/research_services).
RNN: LSTM"
A Deep Active Survival Analysis approach for precision treatment recommendations: Application of prostate cancer,https://www.sciencedirect.com/science/article/abs/pii/S0957417418304949,M. Nezhad et al.,2019,DASA,framework,n.a.,n.a.,n.a.,SAE,no,no,no,no,no,no,no,no,no,no,no,SEER-Medicare prostate cancer dataset,~6000,no,yes,censoring as unsupervised,PASS,,
"Survival Prediction Based on Histopathology Imaging and Clinical Data: A Novel, Whole Slide CNN Approach",https://link.springer.com/chapter/10.1007/978-3-030-87240-3_73,S. Agarwal et al.,2021,SSCNN,ranking-based,custom loss,yes,no,Siamese CNN,no,no,no,no,no,no,no,no,yes,no,no,TCGA (GBM),389,no,no,no,PASS,,"custom loss function, built directly on the outputs of the siamese NN"
Transformer-Based Deep Survival Analysis,https://proceedings.mlr.press/v146/hu21a.html,S. Hu et al.,2021,Hu2021,discrete-time,discrete hazard,yes,???,transformer,no,no,no,no,no,no,no,no,no,no,no,"METABRIC, SUPPORT",1904 (METABRIC),no,no,no,PASS,,"(entropy-based loss + discordant-pair-penalization loss);  actually the complement of the discrete hazard, 1-h, is parametrized"
SurvTRACE: Transformers for Survival Analysis with Competing Events,https://doi.org/10.1145/3535508.3545521,Z. Wang,2021,SurvTRACE,discrete-time,discrete hazard,yes,yes,transformer,no,no,no,no,no,no,no,no,no,attention maps,https://github.com/RyanWangZf/SurvTRACE,"METABRIC, SUPPORT",1904 (METABRIC),no,no,no,PASS,,"(PC-Hazard-style loss + entropy-based loss + MSE-based loss)
primarily the discrete hazard is parametrized, but there is more (auxiliary classification + regression tasks)"
